County Name,Minority,Total,white,black,hispanic,american_indian,asian,pacific_Islander,other,two_or_more
495,5381,76429,71048,393,1680,587,1319,9,593,800
496,5381,76429,71048,393,1680,587,1319,9,593,800
497,5381,76429,71048,393,1680,587,1319,9,593,800
498,5381,76429,71048,393,1680,587,1319,9,593,800
499,5381,76429,71048,393,1680,587,1319,9,593,800
500,5381,76429,71048,393,1680,587,1319,9,593,800
501,5381,76429,71048,393,1680,587,1319,9,593,800
502,5381,76429,71048,393,1680,587,1319,9,593,800
503,5381,76429,71048,393,1680,587,1319,9,593,800
504,5381,76429,71048,393,1680,587,1319,9,593,800
505,5381,76429,71048,393,1680,587,1319,9,593,800
506,5381,76429,71048,393,1680,587,1319,9,593,800
507,5381,76429,71048,393,1680,587,1319,9,593,800
508,5381,76429,71048,393,1680,587,1319,9,593,800
509,5381,76429,71048,393,1680,587,1319,9,593,800
510,5381,76429,71048,393,1680,587,1319,9,593,800
511,5381,76429,71048,393,1680,587,1319,9,593,800
