County Name,Bachelors,Total,High school,Bachelors
680,15285.8,76429,70314.68,15285.8
681,15285.8,76429,70314.68,15285.8
682,15285.8,76429,70314.68,15285.8
683,15285.8,76429,70314.68,15285.8
684,15285.8,76429,70314.68,15285.8
685,15285.8,76429,70314.68,15285.8
686,15285.8,76429,70314.68,15285.8
687,15285.8,76429,70314.68,15285.8
688,15285.8,76429,70314.68,15285.8
689,15285.8,76429,70314.68,15285.8
690,15285.8,76429,70314.68,15285.8
691,15285.8,76429,70314.68,15285.8
692,15285.8,76429,70314.68,15285.8
693,15285.8,76429,70314.68,15285.8
694,15285.8,76429,70314.68,15285.8
